,extension,language,count,low_alphanum_count,long_lines_count,non_lexable_count,XML_detected,Data_detected,Name,Overall quality,Alphanum filter,Long line filter,Lexer filter,Other comments,Include,Alphanum_threshold,Long_line_threshold,,XML filter,Alpha filter,Near-dedup settings
2,ada,ada,1000,0,4,31,0,2,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
0,adb,ada,1000,0,1,85,75,4,Harm,LGTM,LGTM,False positive,Mostly xml; few false positives,,1,0.25,1000,,1,,
1,ads,ada,1000,1,2,20,0,12,Harm,LGTM,False positive,TBD; breaks space,,,1,0.25,1000,,1,0.25,
3,agda,agda,1000,0,3,49,0,1,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
4,als,alloy,1000,0,1,39,0,2,Harm,LGTM,LGTM,False positive,,,1,0.25,1000,,1,,
5,g4,antlr,1000,3,0,443,0,8,Harm,LGTM,False positive; lower to 0.2,LGTM,,,1,0.25,1000,,1,,
7,applescript,applescript,1000,0,38,113,0,9,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
6,scpt,applescript,1000,3,22,57,0,3,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
10,a51,assembly,28,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
8,asm,assembly,1000,2,115,0,0,318,Evgenii,LGTM,Some false positives,Many similar false postives with a long comment line containing only numbers,,,1,0.25,Custom! Can we remove comments for files with long lines? ,,1,remove,
9,nasm,assembly,159,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
11,aug,augeas,255,0,0,0,19,6,Evgenii,"LGTM, some minor misclassifications: xml or data",,,,,1,0.25,1000,,1,0.25,
16,auk,awk,3,0,0,3,0,0,Harm,LGTM,,,,,1,0.25,1000,,1,,
12,awk,awk,1000,5,2,255,2,27,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
13,gawk,awk,225,0,1,103,0,0,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
14,mawk,awk,22,0,0,13,0,0,Harm,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
15,nawk,awk,8,0,0,1,0,0,Harm,LGTM,,,,,1,0.25,1000,,1,,
18,bat,batchfile,1000,1,37,13,0,2,Evgenii,LGTM,,Some are false positives,,,1,0.25,1000,,1,,
17,cmd,batchfile,1000,0,163,14,0,3,Evgenii,LGTM,,Some are false positives,,,1,0.25,1000,,1,,
19,bison,bison,176,0,1,0,0,0,Harm,Exclude (too many parse error file logs),,,,,0,0.25,1000,,1,,
20,bsv,bluespec,1000,3,7,0,0,6,Harm,LGTM,LGTM,"False positives, remove filter",,,1,0.25,remove,,1,,
21,c,c,1000,5,4,11,0,15,Harm,LGTM,False positive; but let's keep filter,LGTM,,,1,0.25,1000,,1,,
23,cats,c,3,0,0,2,0,1,Harm,Exclude,,,,,0,,,,1,,
22,h,c,1000,1,3,192,0,5,Evgenii,LGTM,,,"Non-lexable files have @property and similar in them, can be used to filter Objective-C headers",,1,0.25,1000,,1,,
24,w,c,5,0,0,2,0,1,Harm,Exclude,,,,,0,,,,1,,
40,cake,c-sharp,9,0,0,8,0,1,Qian,LGTM,LGTM,LGTM,Cake extensions cannot be well recoginzed. False positive,,1,0.25,1000,,1,,
38,cs,c-sharp,1000,0,2,31,0,1,Qian,LGTM,LGTM,LGTM,False positive,,1,0.25,1000,,1,,
39,cshtml,c-sharp,585,0,9,429,0,0,Qian,LGTM,LGTM,LGTM,Mostly html pages with some C# lex. False positive,,1,0.25,1000,,1,,
41,csx,c-sharp,8,0,0,6,0,6,Qian,"Only few examples are meaningful - most are command plus path, may consider drop this extension?",,,,,0,,,,1,,
36,c++,c++,15,0,0,0,0,0,Harm,LGTM,,,,,1,0.25,1000,,1,,
